slope;AccPdlActual;AccPdlTarget;G03;tEXT;tADM;kissShock;accelHole;G08;Gmax;Gpth;G2;G1;tG01;tGmax;NG08;NG2;NGmax;t10kph;t20kph;t4m;t10m;dGmin;dGmax;maxNEGdGafterGp;dNmin;vehicleRollback;critSlopeTakeOff;dur90GmaxD;G50kph;G70kph;G90kph;t80Gmax;zero50;zero100;Gpp;freqGpp;t0_sec;t0_min;t0_rel;SOC;name_base;annee;essai;name;prestation;mode;name_file;speed;mode_detail;pedale_press
0;95;95;4.41066732529494;12.9397159351779;-9999;0.86596269354393;0.219708449953513;4.66312592379515;4.77964303169265;4.77384915555556;4.74337074285714;4.78366583509407;0.15;1.42;-9999;-9999;-9999;0.7;1.27;1.51;2.26;-3.61155627150209;3.02163705220404;0.518826191679489;0;NaN;NaN;3.35;4.71403620355387;3.70600078837425;2.75718329993051;0.24;3.02;7.29;0.11603746221782;5.00000000000002;3.73;0.0621666666666667;0;67.14;"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%.dat";NaN;;100
0;95;95;4.3708875926689;12.6045157800461;-9999;0.749498399825379;0.146147612248738;4.66867509540843;4.76746337407064;4.7644678;4.75646634285714;4.79781220486669;0.170000000000002;1.68;-9999;-9999;-9999;0.719999999999999;1.29;1.53;2.29;-3.7724053563553;5.70692921356777;0.516758561112063;0;NaN;NaN;3.35;4.73938552967635;3.70352468276208;2.78761478542623;0.269999999999996;3.05;7.29;0.160859757172317;5.55555555555578;48.17;0.802833333333333;0.740666666666667;66.394;"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%.dat";NaN;;100
0;95;95;4.39251710612461;12.8683638100401;-9999;0.809710196121087;0.206841289882319;4.65321201521657;4.77704530290178;4.77298416666667;4.72689154285714;4.80266057913496;0.159999999999997;1.52;-9999;-9999;-9999;0.709999999999994;1.28999999999999;1.52;2.28;-3.43051278061854;3.84747288365812;0.498581739064541;0;NaN;NaN;3.37;4.73128289145624;3.71363676441913;2.7694139462548;0.260000000000005;3.03999999999999;7.27;0.10259026667927;4.99999999999957;91.59;1.5265;1.46433333333333;66.394;"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%.dat";NaN;;100
0;95;95;4.38790002883451;12.6612049186959;-9999;0.668091021814003;0.186346682937276;4.66391784219505;4.77281639867156;4.77279405555556;4.75200838571429;4.78122893759039;0.159999999999997;2.53999999999999;-9999;-9999;-9999;0.70999999999998;1.28;1.53;2.28;-3.42172209145768;4.36421107722591;1.67641484677903;0;NaN;NaN;3.37;4.74221745671563;3.74535486974554;2.7451665614287;0.259999999999991;3.03999999999999;7.25999999999999;0.144928029369098;5.00000000000028;140.02;2.33366666666667;2.2715;66.394;"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%.dat";NaN;;100
0;100;100;4.39443793843801;12.6902775171449;-9999;0.778293518694073;0.197115225515941;4.67934447537353;4.78847647539918;4.78402281111111;4.73633191428571;4.79462255227262;0.170000000000016;1.76000000000002;-9999;-9999;-9999;0.710000000000008;1.29000000000002;1.52000000000001;2.28;-3.41850765697318;4.22868400973946;0.696986419387136;0;NaN;NaN;3.37;4.759910339184;3.77227181299395;2.75271235466055;0.260000000000019;3.04000000000002;7.26000000000002;0.131600051652312;8.33333333333302;182.13;3.0355;2.97333333333333;65.648;"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_AKE_OFF_Comfort_SOC_87%_100%.dat";NaN;;100
27;100;100;1.64016757828676;7.21457900257608;-9999;0.739562700586034;0.284193264943599;1.69575240030178;2.07204425761247;1.82917771928812;1.79618836796537;NaN;0.179999999999996;0.260000000000002;-9999;-9999;-9999;1.55;3.08;2.4;NaN;0.41843694664993;NaN;7.43937754357708;0;0.0274438615054546;NaN;3.37;NaN;NaN;NaN;0.209999999999997;NaN;NaN;1.2413932023419;2.94117647058833;31.83;0.5305;0;64.156;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.65751570344752;7.19999999999997;-9999;0.725889810157822;0.205337149932945;1.70167223756522;2.04471517185294;1.81435224040404;1.75656148008658;NaN;0.169999999999995;0.25;-9999;-9999;-9999;1.5;NaN;2.34999999999999;NaN;0.398939342534105;NaN;4.22424898218244;0;0.0200993662074245;NaN;3.37;NaN;NaN;NaN;0.199999999999996;NaN;NaN;0.760923570661263;3.84615384615398;47.66;0.794333333333333;0.263833333333333;63.41;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.6565232148152;7.12678825676321;-9999;0.78565306652452;0.204353491606756;1.66932783299787;1.96196399365567;1.84586940649351;1.83682493030303;NaN;0.159999999999997;0.240000000000009;-9999;-9999;-9999;1.53;3.04000000000001;2.37;NaN;2.23026893697582;NaN;5.6897615585763;0;0.0188597821568188;NaN;3.37;NaN;NaN;NaN;0.189999999999998;NaN;NaN;1.03795870384976;3.33333333333321;77.22;1.287;0.7565;63.41;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.68651467496509;7.29203027568185;-9999;0.796964692276099;0.126243363015019;1.70956829170479;2.0438415043198;1.87145539528619;1.74141103549783;NaN;0.170000000000002;0.25;-9999;-9999;-9999;1.50999999999999;3.05;2.34999999999999;NaN;2.64421408118194;NaN;3.36450817576107;0;0.030946338264092;NaN;3.37;NaN;NaN;NaN;0.200000000000003;NaN;NaN;0.699294884104155;4.16666666666651;92.4;1.54;1.0095;63.41;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.66590256413216;7.28760715707956;-9999;0.81772344941954;0.201996945444268;1.78288642840353;2.06071335117929;1.8485575452862;1.78889260930736;NaN;0.179999999999993;0.259999999999991;-9999;-9999;-9999;1.52;3.03999999999999;2.36;NaN;1.79012061269028;NaN;4.03754099189816;0;0.0324176501337874;NaN;3.37;NaN;NaN;NaN;0.209999999999994;NaN;NaN;0.874024524530246;3.57142857142856;107.29;1.78816666666667;1.25766666666667;63.41;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
